Date,year,month,week,X24hAverage,Ask,Bid,Last,TotalVolume,numberOfTransactions,nTweets,nNewsReuters,nNewsCryptocoin,searchInterest,nTweetsTopUser
2016-05-28,2016,5,22,496.33,529.88,529,529.48,137876.96,202600,NA,0,0,24,NA
2016-05-27,2016,5,22,472.56,474.26,473.99,474.04,131483.58,220795,NA,0,0,24,NA
2016-05-26,2016,5,22,454.49,455.94,455.67,455.88,36151.5,219746,NA,1,0,24,NA
2016-05-25,2016,5,21,451.84,452.64,452.34,452.41,38692.82,253578,NA,1,4,18,NA
2016-05-24,2016,5,21,449.84,449.22,449.02,449.1,34845.16,247483,NA,1,0,18,NA
2016-05-23,2016,5,21,443.54,446.1,445.86,446.05,36676.34,203692,NA,0,3,18,NA
2016-05-22,2016,5,21,445.43,441.71,441.32,441.5,27356.59,181704,NA,0,1,18,NA
2016-05-21,2016,5,21,446.04,446.16,445.72,446.13,25358.68,194556,NA,0,1,18,NA
2016-05-20,2016,5,21,443.79,443.76,443.36,443.53,56435.84,213695,NA,2,1,18,NA
2016-05-19,2016,5,21,454.32,445.4,444.73,444.96,58369.65,233349,NA,3,3,18,NA
2016-05-18,2016,5,20,458.5,458.03,457.75,458,32423.31,225204,NA,1,0,18,NA
2016-05-17,2016,5,20,457.56,456.13,455.75,455.87,36078.52,245588,NA,2,1,18,NA
2016-05-16,2016,5,20,459.39,457.41,457.13,457.38,38912.05,224362,NA,0,2,18,NA
2016-05-15,2016,5,20,461.33,462.24,462.12,462.22,20697.45,203957,NA,0,0,18,NA
2016-05-14,2016,5,20,459.09,459.88,459.42,459.6,22780.41,215910,NA,0,0,18,NA
2016-05-13,2016,5,20,457.57,458.37,458.13,458.23,34620.46,228554,NA,3,1,18,NA
2016-05-12,2016,5,20,454.27,456.4,456.12,456.2,49866.2,234870,NA,1,0,18,NA
2016-05-11,2016,5,19,455.43,455.09,454.62,454.66,45950.92,241559,NA,1,2,19,NA
2016-05-10,2016,5,19,459.3,452.72,452.39,452.66,61169.77,234620,NA,0,2,19,NA
2016-05-09,2016,5,19,462.49,468.71,468.45,468.6,51512.82,215586,NA,1,0,19,NA
2016-05-08,2016,5,19,461.85,461.68,461.3,461.37,28018.66,188375,NA,0,0,19,NA
2016-05-07,2016,5,19,460.86,461.55,461.19,461.34,32678.8,208895,NA,0,1,19,NA
